"Equipment","1"
"Type","Shovel"
"Date,""20170321"
"Shift,""1"
"Type","Activity","Time Start","Other"
"S","Activity","0", 
"S","Activity 2","7", 
"P","Activity 3","15", 
"P","Activity 4","23", 
"P","Activity 5","30", 
"P","Activity 6","38", 
"S","Activity 7","45", 
"S","Activity 8","51", 
"S","Activity 9","57", 
"P","Activity 10","66", 
"P","Activity 11","73", 
"S","Activity 12","83", 
"P","Activity 13","93", 
"D","Activity 14","99", 
"S","Activity 15","105", 
"D","Activity 16","114", 
"P","Activity 17","122", 
"P","Activity 18","133", 
"P","Activity 19","139", 
"P","Activity 20","146", 
"E","EndShift","169", 
