"Equipment","1"
"Type","Shovel"
"Date","20170415"
"Shift","2"
"Type","Activity","Time Start","Operator"
"P","Activity","0",operator
"S","Activity 2","11","operator"
"P","Activity 3","18","operator"
"P","Activity 4","29","operator"
"D","Activity 5","40","operator"
"D","Activity 6","51","operator"
"P","Activity 7","62","operator"
"P","Activity 8","69","operator"
"P","Activity 9","78","operator"
"P","Activity 10","87","operator"
"P","Activity 11","93","operator"
"P","Activity 12","101","operator"
"P","Activity 13","110","operator"
"P","Activity 14","121","operator"
"D","Activity 15","130","operator"
"P","Activity 16","141","operator"
"D","Activity 17","150","operator"
"P","Activity 18","157","operator"
"P","Activity 19","165","operator"
"P","Activity 20","171","operator"
"E","EndShift","196","operator"
