Equipment:2
Date:2017-2-9
Shift:2
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,7, 
S,Activity3,16, 
P,Activity4,25, 
P,Activity5,34, 
P,Activity6,41, 
S,Activity7,52, 
P,Activity8,61, 
S,Activity9,68, 
S,Activity10,79, 
P,Activity11,90, 
P,Activity12,97, 
S,Activity13,108, 
P,Activity14,118, 
P,Activity15,128, 
P,Activity16,138, 
P,Activity17,144, 
P,Activity18,152, 
P,Activity19,163, 
S,Activity20,173, 
P,Activity21,180, 
P,Activity22,190, 
P,Activity23,201, 
P,Activity24,207, 
S,Activity25,214, 
P,Activity26,225, 
P,Activity27,234, 
P,Activity28,243, 
P,Activity29,254, 
P,Activity30,260, 
P,Activity31,268, 
S,Activity32,275, 
S,Activity33,286, 
P,Activity34,293, 
S,Activity35,303, 
P,Activity36,309, 
P,Activity37,316, 
P,Activity38,327, 
P,Activity39,335, 
S,Activity40,341, 
D,Activity41,352, 
D,Activity42,359, 
S,Activity43,368, 
D,Activity44,378, 
P,Activity45,389, 
P,Activity46,398, 
S,Activity47,408, 
D,Activity48,418, 
S,Activity49,428, 
S,Activity50,438, 
D,Activity51,445, 
P,Activity52,451, 
P,Activity53,461, 
S,Activity54,469, 
P,Activity55,475, 
P,Activity56,484, 
S,Activity57,491, 
D,Activity58,501, 
P,Activity59,511, 
D,Activity60,520, 
P,Activity61,530, 
S,Activity62,541, 
P,Activity63,549, 
S,Activity64,560, 
P,Activity65,571, 
P,Activity66,577, 
P,Activity67,583, 
D,Activity68,594, 
P,Activity69,600, 
S,Activity70,607, 
P,Activity71,616, 
P,Activity72,627, 
P,Activity73,634, 
S,Activity74,644, 
P,Activity75,653, 
S,Activity76,659, 
S,Activity77,669, 
P,Activity78,678, 
P,Activity79,686, 
S,Activity80,692, 
P,Activity81,703, 
P,Activity82,712, 
P,Activity83,720, 
P,Activity84,731, 
P,Activity85,740, 
P,Activity86,747, 
P,Activity87,753, 
P,Activity88,759, 
P,Activity89,769, 
P,Activity90,779, 
P,Activity91,785, 
S,Activity92,795, 
P,Activity93,804, 
P,Activity94,815, 
P,Activity95,821, 
S,Activity96,828, 
P,Activity97,839, 
S,Activity98,848, 
P,Activity99,856, 
P,Activity100,866, 
E,EndShift,881, 
