Equipment:3
Date:4
Shift:1
Type,Activity,TimeStart,Other
P,Activity1,0, 
S,Activity2,11, 
P,Activity3,22, 
P,Activity4,32, 
P,Activity5,42, 
S,Activity6,50, 
P,Activity7,56, 
P,Activity8,66, 
P,Activity9,72, 
P,Activity10,79, 
P,Activity11,85, 
P,Activity12,93, 
S,Activity13,100, 
P,Activity14,107, 
S,Activity15,117, 
P,Activity16,126, 
S,Activity17,133, 
P,Activity18,143, 
P,Activity19,150, 
S,Activity20,161, 
D,Activity21,168, 
S,Activity22,177, 
P,Activity23,186, 
S,Activity24,194, 
D,Activity25,202, 
S,Activity26,209, 
P,Activity27,220, 
P,Activity28,230, 
D,Activity29,238, 
D,Activity30,245, 
S,Activity31,255, 
S,Activity32,266, 
P,Activity33,277, 
P,Activity34,283, 
S,Activity35,293, 
P,Activity36,303, 
P,Activity37,310, 
S,Activity38,321, 
P,Activity39,330, 
P,Activity40,338, 
P,Activity41,345, 
P,Activity42,352, 
P,Activity43,362, 
D,Activity44,368, 
P,Activity45,379, 
P,Activity46,386, 
S,Activity47,396, 
P,Activity48,402, 
P,Activity49,411, 
S,Activity50,418, 
P,Activity51,428, 
S,Activity52,438, 
P,Activity53,448, 
P,Activity54,457, 
D,Activity55,464, 
S,Activity56,472, 
P,Activity57,479, 
P,Activity58,489, 
P,Activity59,497, 
S,Activity60,504, 
P,Activity61,512, 
P,Activity62,523, 
P,Activity63,533, 
P,Activity64,541, 
S,Activity65,552, 
P,Activity66,562, 
P,Activity67,573, 
S,Activity68,584, 
P,Activity69,595, 
P,Activity70,604, 
S,Activity71,613, 
P,Activity72,623, 
S,Activity73,632, 
S,Activity74,639, 
P,Activity75,650, 
D,Activity76,658, 
S,Activity77,667, 
P,Activity78,676, 
S,Activity79,684, 
S,Activity80,695, 
P,Activity81,703, 
P,Activity82,714, 
S,Activity83,725, 
P,Activity84,735, 
P,Activity85,746, 
D,Activity86,756, 
D,Activity87,763, 
S,Activity88,774, 
D,Activity89,785, 
S,Activity90,792, 
P,Activity91,802, 
P,Activity92,809, 
P,Activity93,819, 
P,Activity94,826, 
S,Activity95,832, 
P,Activity96,842, 
P,Activity97,853, 
P,Activity98,862, 
D,Activity99,868, 
S,Activity100,875, 
E,EndShift,901, 
